hotel_code,hotel_name,address,phone,rating,description,card_price,overview_table_json,pets_json,parking_json,amenities_json,nearby_json,airport_json,is_pet_friendly,last_updated
HILTON-16-16,"The Barnes San Francisco, Tapestry Collection by Hilton",,+1 415-397-7700,Rating: 4.1 out of 5.0,"Less than a block from Union Square, our hotel is a short walk from San Francisco’s galleries, restaurants, and shops along Geary Street. We’re two miles from Fisherman’s Wharf and six miles from the Golden Gate Bridge. Enjoy dinner and...",,"{""Check-in"": ""3:00 PM"", ""Check-out"": ""12:00 PM"", ""Currency"": ""US Dollar"", ""Smoking"": ""A fee will be assessed for smoking in a non-smoking room. Please ask the Front Desk for locations of designated outdoor smoking areas."", ""Pets"": ""Pets allowed, $75.00 non-refundable fee, 60 lbs maximum""}","{""Pets"": ""Pets allowed, $75.00 non-refundable fee, 60 lbs maximum""}",{},"[""Connecting Rooms"", ""Non-smoking rooms"", ""Digital Key"", ""Boutique"", ""Streaming entertainment"", ""On-site restaurant"", ""Fitness center"", ""Pet-friendly rooms"", ""Cribs"", ""Meeting rooms""]","[{""place"": ""Curran Theater"", ""distance"": ""0.20 miles""}, {""place"": ""Golden Gate Theater"", ""distance"": ""0.40 miles""}, {""place"": ""SF Museum of Modern Art"", ""distance"": ""0.50 miles""}, {""place"": ""China Town"", ""distance"": ""0.80 miles""}, {""place"": ""Orpheum Theater"", ""distance"": ""1.10 miles""}, {""place"": ""City Center"", ""distance"": ""1.30 miles""}]","[{""airport"": ""San Francisco International Airport"", ""distance"": ""14.10 miles"", ""shuttle"": ""Airport shuttle""}, {""airport"": ""Metropolitan Oakland International"", ""distance"": ""19.30 miles"", ""shuttle"": ""Airport shuttle""}, {""airport"": ""San Jose International Airport"", ""distance"": ""51 miles"", ""shuttle"": ""Airport shuttle""}]",true,2025-12-23T12:34:04.871314
HILTON-16-17,Hampton Inn San Francisco Downtown/Convention Center,,+1 415-546-3110,Rating: 3.6 out of 5.0,"Our downtown San Francisco rooms are a short walk from Westfield Centre shopping, Union Square, and Powell Street BART Station. We're in the South of Market district, five minutes from Moscone Convention Center events. Wake up to free hot...",,"{""Check-in"": ""3:00 PM"", ""Check-out"": ""11:00 AM"", ""Currency"": ""US Dollar"", ""Parking"": ""Valet parking - $65.00 / night"", ""Pets"": ""Pets allowed, $75.00 non-refundable fee, 30 lbs maximum, $75(1-4n),$125(5+n) 2petsMax,dog/cat only""}","{""Pets"": ""Pets allowed, $75.00 non-refundable fee, 30 lbs maximum, $75(1-4n),$125(5+n) 2petsMax,dog/cat only""}","{""Parking"": ""Valet parking - $65.00 / night""}","[""Connecting Rooms"", ""Free hot breakfast"", ""Free WiFi"", ""Non-smoking rooms"", ""Streaming entertainment"", ""Fitness center"", ""Pet-friendly rooms"", ""Cribs""]","[{""place"": ""SF Mint Museum"", ""distance"": ""0.05 miles""}, {""place"": ""Cable Car Turnaround"", ""distance"": ""0.20 miles""}, {""place"": ""Westfield San Francisco Centre"", ""distance"": ""0.20 miles""}, {""place"": ""Theatre District"", ""distance"": ""0.25 miles""}, {""place"": ""City Center"", ""distance"": ""0.50 miles""}, {""place"": ""SF Museum of Modern Art"", ""distance"": ""0.50 miles""}]","[{""airport"": ""San Francisco International Airport"", ""distance"": ""13 miles"", ""shuttle"": ""Airport shuttle""}, {""airport"": ""Metropolitan Oakland International"", ""distance"": ""19 miles"", ""shuttle"": ""Airport shuttle""}, {""airport"": ""San Jose International Airport"", ""distance"": ""46 miles"", ""shuttle"": ""Airport shuttle""}]",true,2025-12-23T12:34:22.011373
HILTON-16-18,Embassy Suites by Hilton San Francisco Airport Oyster Point,,+1 650-589-3400,Rating: 2.5 out of 5.0,"We're near Bayshore Freeway and 10 minutes from San Francisco International Airport. The San Francisco Bay Trail is within a mile, and we're 10 miles from downtown. Join us for made-to-order breakfast and complimentary evening reception...",,"{""Check-in"": ""4:00 PM"", ""Check-out"": ""12:00 PM"", ""Currency"": ""US Dollar"", ""Parking"": ""Self parking - $45.00 / night"", ""Pets"": ""Pets allowed, $100.00 non-refundable fee, 50 lbs maximum, Pet Fee: $100 per pet for 3 nights, $150 per pet for 4 or more nights. Dogs up to 50 lbs only. Maximum of 2 pets per suite.""}","{""Pets"": ""Pets allowed, $100.00 non-refundable fee, 50 lbs maximum, Pet Fee: $100 per pet for 3 nights, $150 per pet for 4 or more nights. Dogs up to 50 lbs only. Maximum of 2 pets per suite.""}","{""Parking"": ""Self parking - $45.00 / night""}","[""Free made-to-order breakfast"", ""Complimentary evening reception"", ""Non-smoking rooms"", ""Digital Key"", ""Concierge"", ""Airport shuttle"", ""EV charging"", ""On-site restaurant"", ""Indoor pool"", ""Fitness center"", ""Pet-friendly rooms"", ""Cribs"", ""Business center"", ""Meeting rooms""]","[{""place"": ""San Francisco International Airport"", ""distance"": ""1.50 miles""}, {""place"": ""TopGolf"", ""distance"": ""3 miles""}, {""place"": ""Oracel Park"", ""distance"": ""8 miles""}, {""place"": ""Alamo Square"", ""distance"": ""9 miles""}, {""place"": ""Cow Palace"", ""distance"": ""9 miles""}, {""place"": ""Downtown San Francisco"", ""distance"": ""9 miles""}]","[{""airport"": ""San Francisco International Airport"", ""distance"": ""4 miles"", ""shuttle"": ""Airport shuttle""}, {""airport"": ""Metropolitan Oakland International"", ""distance"": ""28 miles"", ""shuttle"": ""Airport shuttle""}, {""airport"": ""San Jose International Airport"", ""distance"": ""37 miles"", ""shuttle"": ""Airport shuttle""}]",true,2025-12-23T12:34:40.788450
HILTON-16-19,Hampton Inn San Francisco-Airport,,+1 650-876-0200,Rating: 4.1 out of 5.0,"Just two miles north of the San Francisco International Airport, right off of Highway 101, our hotel is near downtown and major sporting arenas. We are 10 miles of Chase Center and Oracle Park and within walking distance of several...",,"{""Check-in"": ""3:00 PM"", ""Check-out"": ""12:00 PM"", ""Currency"": ""US Dollar"", ""Smoking"": ""A fee of 300 USD will be assessed for smoking in a non-smoking room. Please ask the Front Desk for locations of designated outdoor smoking areas."", ""Parking"": ""Self parking - $19.44 / night"", ""Pets"": ""Pets allowed, $75.00 non-refundable fee, $75(1-4n),$125(5+n) 2petsMax,dog/cat onl""}","{""Pets"": ""Pets allowed, $75.00 non-refundable fee, $75(1-4n),$125(5+n) 2petsMax,dog/cat onl""}","{""Parking"": ""Self parking - $19.44 / night""}","[""Connecting Rooms"", ""Free hot breakfast"", ""Free WiFi"", ""Non-smoking rooms"", ""Digital Key"", ""EV charging"", ""Streaming entertainment"", ""Fitness center"", ""Pet-friendly rooms"", ""Cribs"", ""Meeting rooms""]","[{""place"": ""South San Francisco Conference Center"", ""distance"": ""0.30 miles""}, {""place"": ""San Francisco Int'l Airport"", ""distance"": ""1.50 miles""}, {""place"": ""3 Com Park"", ""distance"": ""4 miles""}, {""place"": ""Cow Palace"", ""distance"": ""5 miles""}, {""place"": ""AT&T Park"", ""distance"": ""7 miles""}, {""place"": ""Golden Gate Park, SF"", ""distance"": ""9 miles""}]","[{""airport"": ""San Francisco International Airport"", ""distance"": ""2 miles"", ""shuttle"": ""Airport shuttle""}, {""airport"": ""Metropolitan Oakland International"", ""distance"": ""29 miles"", ""shuttle"": ""Airport shuttle""}, {""airport"": ""San Jose International Airport"", ""distance"": ""36 miles"", ""shuttle"": ""Airport shuttle""}]",true,2025-12-23T12:34:58.490356
HILTON-16-20,Home2 Suites by Hilton San Francisco Airport North,,+1 650-822-1000,Rating: 3.9 out of 5.0,"Our pet-friendly suites are less than 5 miles of SFO Airport and within minutes of downtown San Francisco’s finest restaurants and bars. Right off US-101 in the birthplace of biotechnology, we’re a short walk from the Genentech campus along...",,"{""Check-in"": ""3:00 PM"", ""Check-out"": ""12:00 PM"", ""Currency"": ""US Dollar"", ""Smoking"": ""A fee of up to 250 USD will be assessed for smoking in a non-smoking room. Please ask the Front Desk for locations of designated outdoor smoking areas."", ""Parking"": ""Self parking - $25.00 / night"", ""Pets"": ""Pets allowed, $75.00 non-refundable fee, $75(1-4n),$125(5+n) 2petsMax,dog/cat only""}","{""Pets"": ""Pets allowed, $75.00 non-refundable fee, $75(1-4n),$125(5+n) 2petsMax,dog/cat only""}","{""Parking"": ""Self parking - $25.00 / night""}","[""Connecting Rooms"", ""Free hot breakfast"", ""Free WiFi"", ""Non-smoking rooms"", ""Digital Key"", ""Extended Stay"", ""In-Room Kitchen"", ""EV charging"", ""Streaming entertainment"", ""Fitness center"", ""Pet-friendly rooms"", ""Cribs"", ""Business center"", ""Meeting rooms""]","[{""place"": ""City Center"", ""distance"": ""1 mile""}, {""place"": ""Cow Palace"", ""distance"": ""5 miles""}, {""place"": ""AT&T Park"", ""distance"": ""7 miles""}, {""place"": ""Alcatraz"", ""distance"": ""12 miles""}, {""place"": ""Fisherman's Wharf"", ""distance"": ""15 miles""}, {""place"": ""Golden Gate Bridge"", ""distance"": ""15 miles""}]","[{""airport"": ""San Francisco International Airport"", ""distance"": ""2 miles"", ""shuttle"": ""Airport shuttle""}, {""airport"": ""Metropolitan Oakland International"", ""distance"": ""30 miles"", ""shuttle"": ""Airport shuttle""}, {""airport"": ""San Jose International Airport"", ""distance"": ""30 miles"", ""shuttle"": ""Airport shuttle""}]",true,2025-12-23T12:35:16.647220
HILTON-17-1,Hilton San Francisco Financial District,"San Francisco, CA, US",+1 415-433-6600,Rating: 3.8 out of 5.0,"With views of Alcatraz and the San Francisco Bay, we’re less than a mile from the Ferry Building, Union Square, and Coit Tower. City Lights bookstore of North Beach is just three blocks away. Our technology lounge, The Cloud, features...",$120,"{""Check-in"": ""3:00 PM"", ""Check-out"": ""11:00 AM"", ""Currency"": ""US Dollar"", ""Parking"": ""Self parking - $74.10 / night"", ""Pets"": ""Pets allowed, $75.00 non-refundable fee, 75 lbs maximum, Designated rooms only. Call for details.""}","{""Pets"": ""Pets allowed, $75.00 non-refundable fee, 75 lbs maximum, Designated rooms only. Call for details.""}","{""Parking"": ""Self parking - $74.10 / night""}","[""Connecting Rooms"", ""Non-smoking rooms"", ""Digital Key"", ""EV charging"", ""Streaming entertainment"", ""On-site restaurant"", ""Fitness center"", ""Pet-friendly rooms"", ""Business center"", ""Meeting rooms""]","[{""place"": ""Chinatown"", ""distance"": ""0.10 miles""}, {""place"": ""Fishermans Wharf"", ""distance"": ""1.10 miles""}, {""place"": ""Ghiradelli Square"", ""distance"": ""1.10 miles""}, {""place"": ""PIER 39"", ""distance"": ""1.10 miles""}, {""place"": ""City Center"", ""distance"": ""1.50 miles""}, {""place"": ""Golden Gate Bridge"", ""distance"": ""2 miles""}]","[{""airport"": ""San Francisco International Airport"", ""distance"": ""15 miles"", ""shuttle"": ""Airport shuttle""}, {""airport"": ""Metropolitan Oakland International"", ""distance"": ""25 miles"", ""shuttle"": ""Airport shuttle""}, {""airport"": ""San Jose International Airport"", ""distance"": ""45 miles"", ""shuttle"": ""Airport shuttle""}]",true,2025-12-23T12:35:40.425001
HILTON-17-2,Hilton Garden Inn San Francisco Airport North,"San Francisco, CA, US",+1 650-872-1515,Rating: 4.2 out of 5.0,"Located in south San Francisco, our hotel is near many biotech companies and Highway 101. We are four miles from the airport and minutes away from Oyster Point Park and Cow Palace. Enjoy breakfast or dinner at our Garden Grille & Bar and...",$120,"{""Check-in"": ""3:00 PM"", ""Check-out"": ""12:00 PM"", ""Currency"": ""US Dollar"", ""Parking"": ""Self parking - $25.00 / night"", ""Pets"": ""Pets allowed, $75.00 non-refundable fee, 75 lbs maximum""}","{""Pets"": ""Pets allowed, $75.00 non-refundable fee, 75 lbs maximum""}","{""Parking"": ""Self parking - $25.00 / night""}","[""Connecting Rooms"", ""Free WiFi"", ""Non-smoking rooms"", ""Digital Key"", ""On-site restaurant"", ""Fitness center"", ""Pet-friendly rooms"", ""Cribs"", ""Meeting rooms""]","[{""place"": ""South San Francisco Convention Center"", ""distance"": ""0.90 miles""}, {""place"": ""Oyster Point Marina"", ""distance"": ""1 mile""}, {""place"": ""Cow Palace"", ""distance"": ""4 miles""}, {""place"": ""Downtown San Francisco"", ""distance"": ""8 miles""}, {""place"": ""Chase Center"", ""distance"": ""8.50 miles""}, {""place"": ""Fisherman's Wharf/Pier 39"", ""distance"": ""12 miles""}]","[{""airport"": ""San Francisco International Airport"", ""distance"": ""4 miles"", ""shuttle"": ""Airport shuttle""}, {""airport"": ""Metropolitan Oakland International"", ""distance"": ""25 miles"", ""shuttle"": ""Airport shuttle""}, {""airport"": ""San Jose International Airport"", ""distance"": ""40 miles"", ""shuttle"": ""Airport shuttle""}]",true,2025-12-23T12:35:58.340379
HILTON-17-3,Canopy by Hilton San Francisco SoMa,"San Francisco, CA, US",+1 415-534-6500,Rating: 4.2 out of 5.0,"In the vibrant heart of downtown San Francisco, find us a few blocks from the bustling Moscone Center, the Yerba Buena Gardens, and several museums. We’re within a mile of diverse restaurants and shops. Transit stations are half a mile...",$120,"{""Check-in"": ""3:00 PM"", ""Check-out"": ""11:00 AM"", ""Currency"": ""US Dollar"", ""Smoking"": ""A fee will be assessed for smoking in a non-smoking room. Please ask the Front Desk for locations of designated outdoor smoking areas."", ""Pets"": ""Pets allowed, $125.00 non-refundable fee, 30 lbs maximum""}","{""Pets"": ""Pets allowed, $125.00 non-refundable fee, 30 lbs maximum""}",{},"[""Free WiFi"", ""Non-smoking rooms"", ""Digital Key"", ""Concierge"", ""Boutique"", ""On-site restaurant"", ""Fitness center"", ""Pet-friendly rooms"", ""Childcare"", ""Meeting rooms""]","[{""place"": ""SF Mint Museum"", ""distance"": ""0.40 miles""}, {""place"": ""SF Museum of Modern Art"", ""distance"": ""0.60 miles""}, {""place"": ""Union Square"", ""distance"": ""0.80 miles""}, {""place"": ""Theatre District"", ""distance"": ""0.85 miles""}, {""place"": ""AT&T Park - Home of the S.F. Giants"", ""distance"": ""1.30 miles""}, {""place"": ""Chinatown"", ""distance"": ""1.30 miles""}]","[{""airport"": ""San Francisco International Airport"", ""distance"": ""14 miles"", ""shuttle"": ""Airport shuttle""}, {""airport"": ""Metropolitan Oakland International"", ""distance"": ""18 miles"", ""shuttle"": ""Airport shuttle""}]",true,2025-12-23T12:36:19.205704
HILTON-17-4,DoubleTree by Hilton San Francisco Airport North Bayfront,"San Francisco, CA, US",+1 415-467-4400,Rating: 4.1 out of 5.0,"Overlooking the San Francisco Bay, our hotel is just 10 minutes away from San Francisco International Airport. Oracle Park, home of the Giants, is a 10-minute drive away, and Moscone Convention Center is eight miles from us. Our restaurant...",$120,"{""Check-in"": ""3:00 PM"", ""Check-out"": ""12:00 PM"", ""Currency"": ""US Dollar"", ""Smoking"": ""A fee of up to $250 USD will be assessed for smoking in a non-smoking room. Please ask the Front Desk for locations of designated outdoor smoking areas."", ""Parking"": ""Self parking - $45.00 / night"", ""Pets"": ""Pets allowed, $100.00 non-refundable fee, 50 lbs maximum""}","{""Pets"": ""Pets allowed, $100.00 non-refundable fee, 50 lbs maximum""}","{""Parking"": ""Self parking - $45.00 / night""}","[""Connecting Rooms"", ""Free WiFi"", ""Non-smoking rooms"", ""Digital Key"", ""On-site restaurant"", ""Fitness center"", ""Pet-friendly rooms"", ""Cribs"", ""Meeting rooms""]","[{""place"": ""Shore at the Sierra Point"", ""distance"": ""0.30 miles""}, {""place"": ""Cow Palace"", ""distance"": ""3 miles""}, {""place"": ""South San Francisco Convention Center"", ""distance"": ""5 miles""}, {""place"": ""Chase Center"", ""distance"": ""7.50 miles""}, {""place"": ""Fisherman's Wharf / Pier 39"", ""distance"": ""11 miles""}, {""place"": ""San Mateo Exposition Center"", ""distance"": ""16 miles""}]","[{""airport"": ""San Francisco International Airport"", ""distance"": ""3 miles"", ""shuttle"": ""Airport shuttle""}, {""airport"": ""Metropolitan Oakland International"", ""distance"": ""27 miles"", ""shuttle"": ""Airport shuttle""}, {""airport"": ""San Jose International Airport"", ""distance"": ""42 miles"", ""shuttle"": ""Airport shuttle""}]",true,2025-12-23T12:36:33.596266
HILTON-17-5,Homewood Suites by Hilton San Francisco Airport-North,,+1 650-589-1600,Rating: 3.8 out of 5.0,"Our hotel is 15 minutes away from SFO airport and eight miles from downtown San Francisco. We're located off Highway 101, close to many biotech and pharmaceutical companies. Coyote Point is just five miles away. Enjoy our free hot breakfast...",,"{""Check-in"": ""3:00 PM"", ""Check-out"": ""12:00 PM"", ""Currency"": ""US Dollar"", ""Smoking"": ""A fee of up to 250 USD will be assessed for smoking in a non-smoking room. Please ask the Front Desk for locations of designated outdoor smoking areas."", ""Parking"": ""Self parking - $15.00 / night"", ""Pets"": ""Pets allowed, $75.00 non-refundable fee, $75(1-4n), $125(5+n) 2pets max, dog/cat only""}","{""Pets"": ""Pets allowed, $75.00 non-refundable fee, $75(1-4n), $125(5+n) 2pets max, dog/cat only""}","{""Parking"": ""Self parking - $15.00 / night""}","[""Free hot breakfast"", ""Free WiFi"", ""Non-smoking rooms"", ""Digital Key"", ""Extended Stay"", ""In-Room Kitchen"", ""Indoor pool"", ""Pet-friendly rooms"", ""Cribs"", ""Business center""]","[{""place"": ""Cow Palace"", ""distance"": ""3 miles""}, {""place"": ""Coyote Point"", ""distance"": ""5 miles""}, {""place"": ""AT&T Park - Home of the S.F. Giants"", ""distance"": ""6 miles""}, {""place"": ""City Center"", ""distance"": ""6 miles""}, {""place"": ""Moscone Center"", ""distance"": ""6 miles""}, {""place"": ""Downtown SF/Union Square"", ""distance"": ""7 miles""}]","[{""airport"": ""San Francisco International Airport"", ""distance"": ""6 miles"", ""shuttle"": ""Airport shuttle""}, {""airport"": ""Metropolitan Oakland International"", ""distance"": ""27 miles"", ""shuttle"": ""Airport shuttle""}, {""airport"": ""San Jose International Airport"", ""distance"": ""42 miles"", ""shuttle"": ""Airport shuttle""}]",true,2025-12-23T12:36:53.023795
HILTON-17-6,"Embassy Suites by Hilton Portland Hillsboro, Oregon",,+1 503-718-0007,Rating: 4.5 out of 5.0,"We're off Highway 26, a mile from the Streets of Tanasbourne shopping mall and less than five miles from Intel and Nike World Headquarters. Downtown Portland is a 15-minute drive away. Relax at our complimentary evening reception, and enjoy...",,"{""Check-in"": ""4:00 PM"", ""Check-out"": ""11:00 AM"", ""Currency"": ""US Dollar"", ""Parking"": ""Self parking - $12.00 / night"", ""Pets"": ""Pets allowed, $75.00 non-refundable fee, $75(1-4n),$125(5+n) 2 pets Max. Pet Fees are subject to 14% tax per stay""}","{""Pets"": ""Pets allowed, $75.00 non-refundable fee, $75(1-4n),$125(5+n) 2 pets Max. Pet Fees are subject to 14% tax per stay""}","{""Parking"": ""Self parking - $12.00 / night""}","[""Connecting Rooms"", ""Free made-to-order breakfast"", ""Complimentary evening reception"", ""Free WiFi"", ""Non-smoking rooms"", ""Digital Key"", ""Streaming entertainment"", ""On-site restaurant"", ""Indoor pool"", ""Fitness center"", ""Pet-friendly rooms"", ""Cribs"", ""Room service"", ""Meeting rooms""]","[{""place"": ""Hillsboro Hops Stadium"", ""distance"": ""1.90 miles""}, {""place"": ""Saturday Hillsboro Farmer's Market"", ""distance"": ""6.20 miles""}, {""place"": ""Oregon Vineyards"", ""distance"": ""8 miles""}, {""place"": ""Oregon Zoo"", ""distance"": ""9.40 miles""}, {""place"": ""Downtown Portland"", ""distance"": ""15 miles""}, {""place"": ""City Center"", ""distance"": ""17 miles""}]","[{""airport"": ""Portland-Hillsboro Airport"", ""distance"": ""4 miles"", ""shuttle"": ""Airport shuttle""}, {""airport"": ""Portland International Airport"", ""distance"": ""24 miles"", ""shuttle"": ""Airport shuttle""}]",true,2025-12-23T12:37:11.763092
HILTON-17-7,Hampton Inn & Suites Portland/Hillsboro-Evergreen Park,,+1 503-718-0006,Rating: 4.4 out of 5.0,"We're just off US Highway 26, two miles from Intel and five miles from Nike World HQ. Start the day with our free hot breakfast, then shop tax free at The Streets of Tanasbourne mall, a mile from our door. Reserve Vineyards and Golf Club,...",,"{""Check-in"": ""4:00 PM"", ""Check-out"": ""11:00 AM"", ""Currency"": ""US Dollar"", ""Parking"": ""Self parking - $12.00 / night"", ""Pets"": ""Pets allowed, $50.00 non-refundable fee, $50(1-4n) $75(5+n) 2pets dog/cat only. Pet Fees are subject to 14% tax per stay""}","{""Pets"": ""Pets allowed, $50.00 non-refundable fee, $50(1-4n) $75(5+n) 2pets dog/cat only. Pet Fees are subject to 14% tax per stay""}","{""Parking"": ""Self parking - $12.00 / night""}","[""Connecting Rooms"", ""Free hot breakfast"", ""Free WiFi"", ""Non-smoking rooms"", ""Digital Key"", ""Streaming entertainment"", ""Indoor pool"", ""Fitness center"", ""Pet-friendly rooms"", ""Cribs""]","[{""place"": ""Kaiser Westside Medical Center"", ""distance"": ""0.70 miles""}, {""place"": ""The Streets of Tanasbourne Shopping"", ""distance"": ""1.10 miles""}, {""place"": ""Gordon Faber recreaction Complex"", ""distance"": ""1.90 miles""}, {""place"": ""Tualatin Hills Park & Rec Facility"", ""distance"": ""3.30 miles""}, {""place"": ""Nike World Campus"", ""distance"": ""4.70 miles""}, {""place"": ""The Reserve Vineyards Golf Club"", ""distance"": ""5.70 miles""}]","[{""airport"": ""Portland-Hillsboro Airport"", ""distance"": ""4 miles"", ""shuttle"": ""Airport shuttle""}, {""airport"": ""Portland International Airport"", ""distance"": ""25 miles"", ""shuttle"": ""Airport shuttle""}]",true,2025-12-23T12:37:25.237888
HILTON-17-8,Home2 Suites by Hilton Portland Hillsboro,,+1 971-327-9470,Rating: 4.6 out of 5.0,"We’re in Hillsboro's Silicon Forest, and we offer free shuttle service within a 5-mile radius (reservation required). Nearby are Intel, ASML, The Streets of Tanasbourne, Hillsboro Stadium, and Hillsboro Airport. Downtown Portland and...",,"{""Check-in"": ""3:00 PM"", ""Check-out"": ""11:00 AM"", ""Currency"": ""US Dollar"", ""Smoking"": ""A fee of up to 250 USD will be assessed for smoking in a non-smoking room. Please ask the Front Desk for locations of designated outdoor smoking areas."", ""Parking"": ""Self parking - $12.00 / night"", ""Pets"": ""Pets allowed, $50.00 non-refundable fee, 25 lbs maximum, $50 (1-4 nights) $125(5+ nights) 2 pets max dog/cat only""}","{""Pets"": ""Pets allowed, $50.00 non-refundable fee, 25 lbs maximum, $50 (1-4 nights) $125(5+ nights) 2 pets max dog/cat only""}","{""Parking"": ""Self parking - $12.00 / night""}","[""Free hot breakfast"", ""Free WiFi"", ""Non-smoking rooms"", ""Digital Key"", ""Extended Stay"", ""In-Room Kitchen"", ""Streaming entertainment"", ""Indoor pool"", ""Fitness center"", ""Pet-friendly rooms"", ""Cribs"", ""Business center"", ""Meeting rooms""]","[{""place"": ""The Streets of Tanasbourne Shopping"", ""distance"": ""0.80 miles""}, {""place"": ""Fred Meyer"", ""distance"": ""1.60 miles""}, {""place"": ""Hillsboro Stadium"", ""distance"": ""2.30 miles""}, {""place"": ""Washington County Fair Grounds"", ""distance"": ""3.90 miles""}, {""place"": ""Oregon International Airshow"", ""distance"": ""4 miles""}, {""place"": ""Top Golf"", ""distance"": ""4.30 miles""}]","[{""airport"": ""Portland-Hillsboro Airport"", ""distance"": ""5 miles"", ""shuttle"": ""Airport shuttle""}, {""airport"": ""Portland International Airport"", ""distance"": ""15 miles"", ""shuttle"": ""Airport shuttle""}]",true,2025-12-23T12:37:39.222738
HILTON-17-9,Hampton Inn Sherwood Portland,,+1 503-825-9004,Rating: 3.6 out of 5.0,"Our hotel is off Highway 99, a mile from Sherwood Market Center and Stella Olsen Memorial Park. We're in the heart of Oregon wine country, within a six-mile radius of an abundance of wineries, including Ponzi Vineyards. Tualatin River...",,"{""Check-in"": ""3:00 PM"", ""Check-out"": ""11:00 AM"", ""Currency"": ""US Dollar"", ""Smoking"": ""A fee of up to 250 USD will be assessed for smoking in a non-smoking room. Please ask the Front Desk for locations of designated outdoor smoking areas."", ""Parking"": ""Self parking - Complimentary"", ""Pets"": ""Pets allowed, $90.40 non-refundable fee, 45 lbs maximum, $90.40 (1-4 nights) - $150.70 (5+ nights) - Graciously welcoming up to 2 pets (dogs/cats) - Service animals welcomed at no charge.""}","{""Pets"": ""Pets allowed, $90.40 non-refundable fee, 45 lbs maximum, $90.40 (1-4 nights) - $150.70 (5+ nights) - Graciously welcoming up to 2 pets (dogs/cats) - Service animals welcomed at no charge.""}","{""Parking"": ""Self parking - Complimentary""}","[""Connecting Rooms"", ""Free hot breakfast"", ""Free parking"", ""Free WiFi"", ""Non-smoking rooms"", ""Digital Key"", ""Streaming entertainment"", ""Indoor pool"", ""Fitness center"", ""Pet-friendly rooms"", ""Cribs"", ""Business center"", ""Meeting rooms""]","[{""place"": ""City Center"", ""distance"": ""1 mile""}, {""place"": ""Lake Oswego"", ""distance"": ""13 miles""}]","[{""airport"": ""Portland International Airport"", ""distance"": ""28 miles"", ""shuttle"": ""Airport shuttle""}]",true,2025-12-23T12:37:56.357134
HILTON-17-10,Hampton Inn & Suites San Francisco-Burlingame-Airport South,,+1 650-697-5736,Rating: 4.1 out of 5.0,"Find us between the ocean and the bay, off I-101 between San Francisco and Palo Alto. We're just one mile from San Francisco International Airport, and 12 miles from Downtown San Francisco. Enjoy easy access to the financial district, Chase...",,"{""Check-in"": ""3:00 PM"", ""Check-out"": ""11:00 AM"", ""Currency"": ""US Dollar"", ""Smoking"": ""A fee of up to $250 USD will be assessed for smoking in a non-smoking room. Please ask the Front Desk for locations of designated outdoor smoking areas."", ""Parking"": ""Self parking - $35.00 / night"", ""Pets"": ""Pets allowed, $75.00 non-refundable fee, $75(1-4n),$125(5+n)2petsMax,dog/cat only""}","{""Pets"": ""Pets allowed, $75.00 non-refundable fee, $75(1-4n),$125(5+n)2petsMax,dog/cat only""}","{""Parking"": ""Self parking - $35.00 / night""}","[""Connecting Rooms"", ""Free hot breakfast"", ""Free WiFi"", ""Non-smoking rooms"", ""Digital Key"", ""Airport shuttle"", ""Fitness center"", ""Pet-friendly rooms"", ""Cribs"", ""Business center""]","[{""place"": ""Coyote Point Recreation Area"", ""distance"": ""1 mile""}, {""place"": ""Golf course"", ""distance"": ""1 mile""}, {""place"": ""Shopping"", ""distance"": ""4 miles""}, {""place"": ""3 Com Park"", ""distance"": ""5 miles""}, {""place"": ""Bay Meadows Race Track"", ""distance"": ""5 miles""}, {""place"": ""City Center"", ""distance"": ""5 miles""}]","[{""airport"": ""San Francisco International Airport"", ""distance"": ""1 mile"", ""shuttle"": ""Airport shuttle""}, {""airport"": ""Metropolitan Oakland International"", ""distance"": ""25 miles"", ""shuttle"": ""Airport shuttle""}, {""airport"": ""San Jose International Airport"", ""distance"": ""30 miles"", ""shuttle"": ""Airport shuttle""}]",true,2025-12-23T12:38:11.045262
